Timestamp,Gender,Boarding,Grade,Athlete,Activities,DHBreakfast,NDHBreakfast,DHBoxes,NDHBoxes,NDHMeals,Nutrition,Money,BClass
129,1,1,3,0.6931471805599453,1,0,0,0,0.6931471805599453,1,0,20.0,1
157,1,0,3,1.0986122886681098,0,1,0,0,1.0986122886681098,6,1,5.5,1
79,1,1,0,1.0986122886681098,0,0,0,1,0.6931471805599453,0,1,12.0,1
19,0,0,2,0.6931471805599453,1,0,0,1,1.3862943611198906,10,0,30.0,1
70,0,0,3,0.6931471805599453,1,1,0,0,0.6931471805599453,7,1,30.0,1
47,1,0,1,1.0986122886681098,2,1,1,1,1.0986122886681098,10,2,10.0,1
26,0,0,1,0.6931471805599453,2,0,0,0,0.6931471805599453,1,0,39.5,1
163,1,1,3,0.6931471805599453,0,0,1,0,0.6931471805599453,1,1,15.0,0
36,0,0,1,0.6931471805599453,1,1,0,0,1.0986122886681098,2,2,10.0,0
25,0,0,1,0.6931471805599453,1,1,0,0,0.6931471805599453,5,0,30.0,0
83,1,0,1,1.0986122886681098,2,2,0,0,0.6931471805599453,2,2,20.0,1
30,1,0,1,1.0986122886681098,0,1,0,0,0.6931471805599453,10,1,20.0,1
65,0,0,1,0.6931471805599453,1,1,0,0,0.6931471805599453,2,1,20.0,1
104,1,0,2,1.0986122886681098,0,1,0,1,0.6931471805599453,5,1,15.0,0
144,0,1,0,1.0986122886681098,2,0,0,0,0.6931471805599453,3,1,39.5,1
94,1,0,1,1.0986122886681098,0,2,1,1,1.0986122886681098,3,0,5.0,1
122,1,0,2,1.0986122886681098,0,1,0,1,1.0986122886681098,5,2,5.0,0
89,1,1,1,1.0986122886681098,0,0,1,0,0.6931471805599453,5,1,20.0,1
75,1,1,0,1.0986122886681098,0,0,1,0,0.6931471805599453,0,1,39.5,1
132,0,1,0,1.0986122886681098,1,1,0,0,0.6931471805599453,0,1,5.0,0
63,1,0,3,1.0986122886681098,0,2,0,1,1.0986122886681098,3,1,7.0,1
112,1,0,1,0.6931471805599453,0,1,0,0,1.0986122886681098,7,1,0.0,0
40,1,1,0,1.0986122886681098,0,0,1,1,0.6931471805599453,1,1,30.0,1
66,0,1,2,1.0986122886681098,1,0,0,0,0.6931471805599453,0,0,20.0,0
139,0,1,3,1.0986122886681098,2,0,1,0,0.6931471805599453,4,1,6.0,1
166,1,1,3,1.0986122886681098,0,0,1,0,0.6931471805599453,0,1,3.0,0
115,1,0,2,0.6931471805599453,1,1,0,1,1.0986122886681098,2,1,20.0,1
111,0,0,1,1.0986122886681098,0,1,1,0,0.6931471805599453,10,0,39.5,1
45,1,1,1,1.0986122886681098,0,0,1,1,0.6931471805599453,4,1,10.0,1
95,1,1,2,0.6931471805599453,1,0,0,0,0.6931471805599453,1,1,5.0,1
0,0,1,2,0.6931471805599453,1,0,0,0,0.6931471805599453,0,0,39.5,0
125,0,0,2,0.6931471805599453,0,1,0,0,1.3862943611198906,3,0,5.0,1
35,0,1,3,1.0986122886681098,2,0,1,0,0.6931471805599453,10,0,20.0,1
15,0,0,2,0.6931471805599453,0,0,0,0,0.6931471805599453,1,0,12.0,1
147,1,1,2,1.0986122886681098,1,0,0,1,0.6931471805599453,0,0,15.0,0
143,0,0,0,0.6931471805599453,1,2,0,0,0.6931471805599453,2,0,20.0,0
33,1,0,2,1.0986122886681098,2,2,0,1,0.6931471805599453,5,0,34.0,1
37,1,1,3,1.0986122886681098,0,0,0,1,0.6931471805599453,2,1,7.0,1
13,2,1,2,1.0986122886681098,2,0,0,0,0.6931471805599453,2,1,15.0,1
96,1,1,1,0.6931471805599453,0,0,1,1,0.6931471805599453,2,1,39.5,1
32,1,0,0,1.0986122886681098,0,2,0,1,1.3862943611198906,6,0,15.0,1
2,0,1,3,1.0986122886681098,2,1,1,0,0.6931471805599453,10,1,39.5,1
69,0,1,0,0.6931471805599453,0,0,0,0,0.6931471805599453,2,0,15.0,1
20,0,0,0,1.0986122886681098,2,2,1,0,0.6931471805599453,6,1,15.0,1
150,1,0,3,1.0986122886681098,1,1,0,0,0.6931471805599453,2,0,3.0,1
136,1,0,1,1.0986122886681098,2,2,0,1,0.6931471805599453,7,1,20.0,0
82,1,0,0,1.0986122886681098,0,2,0,1,1.0986122886681098,3,1,15.0,1
92,0,0,3,1.0986122886681098,0,2,0,0,0.6931471805599453,3,1,8.0,0
8,0,0,2,1.0986122886681098,2,1,0,0,0.6931471805599453,4,0,5.0,1
110,1,0,2,1.0986122886681098,2,1,0,0,0.6931471805599453,0,0,5.0,1
154,0,1,0,1.0986122886681098,2,1,0,0,0.6931471805599453,0,2,15.0,0
106,0,0,1,1.0986122886681098,0,2,0,0,0.6931471805599453,0,2,29.832308858067883,0
8,1,1,0,1.0986122886681098,2,0,1,0,0.6931471805599453,0,1,20.3323710675202,0
126,0,0,1,1.0986122886681098,1,2,0,0,0.6931471805599453,0,1,0.42017877979103835,0
115,1,0,1,1.0986122886681098,0,0,0,0,0.6931471805599453,6,1,12.442460308702238,0
108,1,0,1,1.0986122886681098,0,2,0,0,1.3862943611198906,6,1,15.0,0
97,0,0,1,1.0986122886681098,0,2,0,0,0.6931471805599453,1,2,20.132649611598666,0
49,1,0,1,1.0986122886681098,2,0,0,0,0.6931471805599453,3,1,17.355504389212133,0
